stop_id,stop_name,stop_lat,stop_lon
116,Olney Transportation Center     ,40.039012,-75.144631
118,Fisher Av & Rising Sun Av ,40.030149,-75.118821
119,C St & Roosevelt Blvd,40.026916,-75.117348
121,Wissahickon Av & Catherdal Rd ,40.066927,-75.230935
131,Walnut St & 23rd St,39.95111,-75.178305
134,Ridge & Summit Av             ,40.056796,-75.23651
136,Cheltenham Loop & Ogontz Ave,40.074575,-75.15885
444,Easton Rd & Keswick Av,40.10645,-75.147842
446,Easton Rd & Edgehill Rd ,40.117805,-75.136565
458,WG VIA EDGEHILL                 ,40.133997,-75.12563
478,Martins Mill Rd & Oxford Av,40.043958,-75.089001
30295,Green St & Roberts Av,40.021266,-75.158726
481,Frankford Av & Girard Av ,39.96864,-75.134245
1652,DeKalb Pk & Swede Rd,40.152038,-75.305078
27449,Walnut & 8th Sts,40.216824,-75.275131
1945,96 Signal                    ,39.915539,-75.364634
1846,Office Center & Virgina Drs,40.14041,-75.171897
1878,Otter St & Bath St ,40.096938,-74.860717
1881,Otter St & Bath St ,40.097036,-74.860563
1757,W Trenton Ave & Pine Grove Rd ,40.207641,-74.803223
1758,Trenton Rd & NewTyburn Rd ,40.189729,-74.823854
1780,Lincoln Hwy & Durham Rd ,40.159925,-74.910589
5277,Broad St & Parrish St - FS,39.968841,-75.160065
5287,Broad St & Porter St ,39.919394,-75.170803
5140,Broad St & Bigler St ,39.91422,-75.171943
5369,Brown St & 23rd St,39.969595,-75.174945
5370,Brown St & 24th St,39.969795,-75.176539
5371,Brown St & 25th St,39.96995,-75.178121
5372,Brown St & 26th St,39.970149,-75.17975
5373,Brown St & 28th St,39.970575,-75.182761
5305,Broad St & Shunk St ,39.918127,-75.171103
5308,Broad St & Snyder Av,39.924443,-75.169758
5622,Castor Av & Devereau Av ,40.03675,-75.079708
5626,Castor Av & Hellerman St ,40.040489,-75.076214
5646,Castor Av & St Vincent St ,40.049105,-75.067906
5597,Cambria St & Almond St,39.981624,-75.111462
5600,Cambria St & Belgrade St,39.982349,-75.11212
5602,Cambria St & Emerald St,39.990522,-75.118641
